project_id,instance_id,zone,cpu_percent,memory_percent,gpu_utilization
ucr-ursa-major-chang-lab,4876226543487688859,us-central1-a,0.8544557477694517,55.8406853224499,0.0
ucr-ursa-major-pad-lab,1656621631351222084,us-central1-a,0.8849870529898378,0.0,0.0
ucr-research-computing,1782854272118616557,us-central1-a,8.59182637037506,71.97365213628119,0.0
ucr-research-computing,3739644967036536255,us-central1-a,1.3702878053542615,94.25042062678533,0.0
ucr-research-computing,4495038450761452744,us-central1-a,0.03920245165419248,71.2976130524572,0.0
ucr-research-computing,6742002229964369584,us-central1-c,0.952513873829797,67.644739,0.0
ucr-research-computing,7549986699051986619,us-central1-c,1.1684435214245545,83.438348,0.0
ucr-ursa-major-mohsenian-lab,2325788316493545820,us-central1-a,0.5887998076893078,0.0,0.0
ucr-ursa-major-mohsenian-lab,3748625743709839919,us-central1-a,0.022563849167151297,0.0,0.0
ucr-ursa-major-mohsenian-lab,3814692511202272366,us-central1-a,0.49101708254227105,94.53794132365357,0.0
ucr-ursa-major-mohsenian-lab,4676012996571363163,us-central1-a,0.5053720374642505,94.5167508928264,0.0
ucr-ursa-major-mohsenian-lab,4755047833697905614,us-central1-a,0.7843556113804576,94.28444775964493,0.0
ucr-ursa-major-mohsenian-lab,6305666400628109898,us-central1-a,0.5108390164451748,94.39654482516781,0.0
ucr-ursa-major-mohsenian-lab,7310311284691300310,us-central1-a,0.5568758549134145,94.44345418680123,0.0
ucr-ursa-major-mohsenian-lab,965324757935902849,us-central1-a,0.08173992575999971,0.0,0.0
ucr-ursa-major-mohsenian-lab,6973709075541354708,us-west1-b,0.13078504824079573,56.01766961999443,0.0
ucr-ursa-major-mohsenian-lab,7649036530431911076,us-west1-b,6.48694898118265,91.91347746702469,0.0
ucr-ursa-major-kurum-lab,3924236266330163946,us-central1-a,1.726046177905564,36.43984989419623,0.0
ucr-ursa-major-kurum-lab,8835860776117897981,us-central1-a,0.23841061236453245,70.90211389318252,0.0
ucr-ursa-major-esca-lab,2759466222503715406,us-central1-a,0.008533199714182763,0.0,0.0
ucr-ursa-major-maverics-lab,7072798540900107952,asia-northeast3-b,0.01522075084115689,0.0,0.0
ucr-ursa-major-maverics-lab,8274950412391019410,me-west1-c,0.15757218471157505,0.0,0.0
ucr-ursa-major-maverics-lab,1666064976010150489,us-central1-a,0.2677074532706077,0.0,0.0
ucr-ursa-major-maverics-lab,3646842723988956674,us-central1-a,0.2494374426896684,0.0,0.0
ucr-ursa-major-maverics-lab,512911753567328975,us-central1-a,0.24833236230279002,0.0,0.0
ucr-ursa-major-maverics-lab,5990467465302024038,us-central1-a,0.9154181272909531,0.0,0.0
ucr-ursa-major-maverics-lab,626084618528267910,us-central1-a,2.3231307799384617,52.17514919751053,0.0
ucr-ursa-major-maverics-lab,8266351119073751763,us-central1-a,1.6912265329059057,0.0,0.0
ucr-ursa-major-maverics-lab,1344746141719584538,us-central1-b,0.20245228640305865,0.0,0.0
ucr-ursa-major-maverics-lab,7094969007469109333,us-central1-c,1.6389613944435648,55.21558219284266,0.0
ucr-ursa-major-maverics-lab,7306144423376257887,us-central1-c,9.840777297504246,0.0,0.0
ucr-ursa-major-mueller-lab,5927301312585340456,us-central1-a,0.34296448293995735,77.55756613032115,0.0
ucr-ursa-major-mueller-lab,8929913434550244989,us-central1-a,4.068484649646516,39.85892537139674,0.0
ucr-ursa-major-sadredini-lab,8337570825126931119,us-central1-c,39.34121159236935,74.74018788747048,0.0
ucr-ursa-major-sridharan-lab,5643150519632680156,us-central1-a,0.021681886494964903,0.0,0.0
ucr-ursa-major-allsides,3338227891827952467,us-central1-c,1.13638395274999,0.0,0.0
ucr-ursa-major-allsides,4913648576337595219,us-central1-f,0.9544417085559568,0.0,0.0
ucr-bcoe-research-computing,7631779639653884135,us-west1-b,0.09751305357591869,0.0,0.0
ucr-ursa-major-mingus-lab,2518976220259123469,us-central1-a,100.07702768730398,0.0,0.0
ucr-ursa-major-mingus-lab,302252360812638583,us-central1-a,99.99843079375015,0.0,0.0
ucr-ursa-major-mingus-lab,493934066880326258,us-central1-a,99.88140166338,0.0,0.0
ucr-ursa-major-mingus-lab,7445085971109091658,us-central1-a,99.95099319106278,0.0,0.0
ucr-ursa-major-mingus-lab,7490157856129521971,us-central1-a,99.84162235211225,0.0,0.0
ucr-ursa-major-mingus-lab,826631029719764455,us-central1-a,100.11241109986302,0.0,0.0
ucr-ursa-major-ai4sa-lab,4175860348381767955,us-west1-b,0.9612157826328862,0.0,0.0
ucr-ursa-major-ai4sa-lab,4979249872526297379,us-west2-b,4.235850366142889,0.0,0.0
